authors,author_id,title,year,source_title,volume,issue,cited_by,author_keywords,index_keywords,document_type,article_no
Fonseca F.S| Fortes E.S| Parsekian G.A| Camacho J.S.,7004435321|56781290700|36055605700|16041305200|,Compressive strength of high-strength concrete masonry grouted prisms,2019,Construction and Building Materials,202,,362,Compatibility| Deformation| Grouted prisms| High-strength masonry| Hollow prisms| Masonry efficiency| Masonry grout| Shrinkage compensating admixtures,Compressive strength| Concrete construction| Deformation| Efficiency| Grouting| High performance concrete| Prisms| Shrinkage| Block geometry| Compatibility| Concrete masonry units| Experimental program| High strength| High strength concretes| Medium strengths| Shrinkage characteristic| Mortar,Article,255
Stanley Fujimoto M| Lyman C.A| Clement M.J.,57215322624|57202818911|7102523474|,The polygraph: A data structure for genome alignment and variation detection,2019,"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",,,641,,Bioinformatics| Bismuth compounds| Data structures| Escherichia coli| Genes| Yeast| De Bruijn graphs| Genome alignment| Genomic structure| Graph methods| Graph structures| Multiple whole genome alignment| Reference-free| Structural variations| Boron compounds,Conference Paper,256
Weaver J.M| Barton T.J| Linn J| Jenkins D| Miles M.P| Smith R.,57203310052|57204552603|57204551844|57204547933|24295291100|57195217444|,Quantifying accuracy of a concept laser metal additive machine through the NIST test artifact,2019,Rapid Prototyping Journal,25,2,839,Additive manufacturing,Optical data processing| 316 stainless steel| Additive manufacturing process| Design/methodology/approach| Dimensional accuracy| Inclined surface| Measurement strategies| Optical measurement systems| Size and position| 3D printers,Article,257
Guthrie W.S| Larsen J.L| Baxter J.S| Mazzeo B.A.,7003302831|57193706327|7202282831|16066928300|,Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,2019,Journal of Nondestructive Evaluation,38,1,527,Air-coupled impact-echo testing| Chain dragging| Concrete bridge deck| Delamination,Bridge decks| Concrete testing| Concretes| Delamination| Signal processing| Degree of similarity| Delamination detections| Excitation mechanisms| Impact-echo testing| Measurement instruments| Percentage points| Quantitative method| Universal threshold| Concrete bridges,Article,258
Arnold B.T| Jensen M.A.,57200690449|35597296700|,The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,2019,IEEE Transactions on Antennas and Propagation,67,3,741,Beam steering| multiple-input multiple-output (MIMO) systems| mutual coupling| radar antennas,Antenna lobes| Beam forming networks| Beamforming| MIMO systems| Radar antennas| Radar signal processing| Radar systems| Tracking radar| Antenna mutual coupling| Beam-steering| Detection performance| Monostatic MIMO radars| Multiple input multiple output (MIMO) radars| Mutual coupling| Radio frequency circuitries| Simple matching network| MIMO radar,Article,259
Lee A| Crockett J.,57208717150|55457444300|,Turning depths: Evanescent to propagating wave kinetic energy density,2019,Physical Review Fluids,4,3,617,,Electromagnetic wave reflection| Kinetic energy| Oceanography| Topography| Evanescent wave| Internal waves| Kinetic energy density| Propagating waves| Synthetic schlieren| Tidal flow| Tidal frequencies| Topographic slope| Kinetics,Article,260
Allen Q.S| Nelson T.W.,57204091960|7401431037|,Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,2019,Journal of Materials Processing Technology,265,,722,Crystallographic orientation| Hydrogen embrittlement| Recovery| Steel,Decay (organic)| Hydrogen embrittlement| Recovery| Steel| Tensile testing| Advanced high strength steel| Concentration Measurement| Crystallographic orientations| Diffusible hydrogen| Empirical relations| Hydrogen concentration| Hydrogen diffusion| Microstructural evaluation| High strength steel,Article,261
Allen J.D| Stevenson P.D| Mattson C.A| Hatch N.W.,56353116200|57197765353|7004300863|6603717022|,Over-Design Versus Redesign as a Response to Future Requirements,2019,"Journal of Mechanical Design, Transactions of the ASME",141,3,459,capabilities| excess| Over-design| redesign| requirements,Automobile manufacture| Cellular telephones| Obsolescence| Purchasing| capabilities| Defense contractor| Development costs| excess| Net present value| Product development strategy| redesign| requirements| Product design,Article,262
Mulford R.B| Dwivedi V.H| Jones M.R| Iverson B.D.,56584019300|55542008600|56714263700|8608718200|,Control of Net Radiative Heat Transfer with a Variable-Emissivity Accordion Tessellation,2019,Journal of Heat Transfer,141,3,494,,Analytical models| Irradiation| Radiative transfer| Uncertainty analysis| Apparent temperature| Cavity parameters| Collimated irradiation| Experimental uncertainty| Irradiated surface| Radiative heat transfer| Radiative properties| Vacuum environment| Heat radiation,Article,263
Chen J| Oh S.K| Nabulsi N| Johnson H| Wang W| Ryou J.-H.,57210923446|55652695700|57205329719|57199801999|57193242858|7005512824|,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,2019,Nano Energy,57,,561,Biocompatible| Flexible| III-nitride| Piezoelectric generators| Self-powered system| Thin film,Biocompatibility| Durability| Electric power systems| Energy harvesting| Flexible electronics| Lead zirconate titanate| Nitrides| Open circuit voltage| Piezoelectric devices| Piezoelectricity| Thin films| Wearable technology| Biocompatible| Flexible| III-Nitride| Piezoelectric generators| Self-powered systems| Thin film circuits,Article,264
Hogg S.M| Anderson B.E| Le Bas P.-Y| Remillieux M.C.,57205263313|56036628100|36953700600|16033650300|,Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,2019,NDT and E International,102,,148,Nondestructive evaluation| Nondestructive testing| Nonlinear resonant ultrasound spectroscopy| Stress corrosion cracking,Chlorine compounds| Connecting rods| Damage detection| Magnesium compounds| Natural frequencies| Nondestructive examination| Residual stresses| Spectroscopy| Stainless steel| Steel containers| Steel corrosion| Ultrasonic testing| Cumulative amount| Longitudinal modes| Magnesium chloride solution| Non destructive evaluation| Non-linear ultrasonic| Nonlinear resonant ultrasound spectroscopies| Resonance frequencies| Resonance frequency shift| Stress corrosion cracking,Article,265
Bathe M| Chrisey L.A| Herr D.J.C| Lin Q| Rasic D| Woolley A.T| Zadegan R.M| Zhirnov V.V.,23970286000|57194276793|57208827685|7401703652|57202228997|7006111578|54415129200|7005373645|,Roadmap on biological pathways for electronic nanofabrication and materials,2019,Nano Futures,3,1,475,Biofabrication| DNA| Nanofabrication| Roadmap| Semiconductors,Agricultural robots| Biological systems| DNA| Nanotechnology| Semiconductor device manufacture| Semiconductor materials| Biofabrication| Emerging technologies| Information processing architecture| Microchip fabrication| Nanometer scale structure| Roadmap| Semiconductor industry| Semiconductor technology| Energy utilization,Review,266
Keller A.M| Wirthlin M.J.,57189235340|7003292762|,Impact of soft errors on large-scale FPGA cloud computing,2019,FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,,,401,,Cloud computing| Crime| Error correction| Failure analysis| Logic gates| Radiation hardening| System stability| Cloud computing environments| Fault injection| FPGA applications| Mitigation techniques| Radiation-induced| Silent data corruptions| Soft error detection| Traditional computing| Field programmable gate arrays (FPGA),Conference Paper,267
Noronha D.H| Zhao R| Goeders J| Luk W| Wilton S.J.E.,57202047395|57193927413|54978625300|26029526200|7006799143|,On-chip FPGA debug instrumentation for machine learning applications,2019,FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,,,690,,Application programs| Integrated circuit design| Logic gates| Machine learning| Program debugging| Design spaces| Domain-specific information| Latency costs| Low area| Machine learning applications| Runtimes| Software model| Target systems| Field programmable gate arrays (FPGA),Conference Paper,268
Stubbs C.J| Sun W| Cook D.D.,57203922639|57196487336|16199522200|,Measuring the transverse Young's modulus of maize rind and pith tissues,2019,Journal of Biomechanics,84,,555,Finite element modeling| Stiffness| Tissue properties| Transverse compression| Young's modulus,"Computerized tomography| Elastic moduli| Histology| Stiffness| Stress analysis| Testing| Tissue| Tissue engineering| Computed tomography data| Specific finite element| Structural response| Testing configurations| Tissue properties| Transverse compression| Transverse Young's modulus| X-ray computed tomography| Finite element method| article| compression| geometry| human tissue| maize| nonhuman| rigidity| stress| x-ray computed tomography| biomechanics| finite element analysis| mechanical stress| physiology| Young modulus| Biomechanical Phenomena| Elastic Modulus| Finite Element Analysis| Stress, Mechanical| Zea mays",Article,269
Hyatt P| Kraus D| Sherrod V| Rupert L| Day N| Killpack M.D.,57188681207|56985459400|57195343816|57188173800|57201722090|36349287300|,Configuration estimation for accurate position control of large-scale soft robots,2019,IEEE/ASME Transactions on Mechatronics,24,1,520,Calibration| motion control| pneumatic actuators| pose estimation| robot kinematics| soft robotics| state estimation| visual servoing,Calibration| Estimation| Kinematics| NASA| Position control| Rhenium alloys| Robotics| Sensors| Configuration estimation| Configuration estimation methods| Global measurements| Measurement system| Orientation measurements| Outdoor environment| Position and orientations| Soft robotics| End effectors,Article,270
Cowley A| Maynes D| Crockett J| Iverson B.D.,56237421600|6701863708|55457444300|8608718200|,Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,2019,International Journal of Heat and Mass Transfer,129,,847,Heat transfer| Mass transfer| Natural convection| Nucleation| Superhydrophobic,Atmospheric temperature| Heat flux| Heat transfer| Lakes| Mass transfer| Microstructure| Natural convection| Nucleation| Surface properties| Surface structure| Thermocouples| Air bubble formation| Constant surface temperatures| Convection coefficients| Heat and mass transfer| Structured surfaces| Super-hydrophobic surfaces| Superhydrophobic| Surface temperatures| Hydrophobicity,Article,271
Vosughi A| Johnson C| Xue M| Roy S| Warnick S.,55912340300|57201864184|34874297000|10639679200|16178649400|,Target control and source estimation metrics for dynamical networks,2019,Automatica,100,,71,,Control systems| Electrical engineering| Dynamical networks| Graph-theoretic| Remote measurement| Source estimation| Target nodes| Graph theory,Article,272
Rich P.J| Hu H.H.,56854811600|55141781300|,Surveying the Landscape: Statewide Data on K-12 CS Education Implementation,2019,"Proceedings of the 2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2019",,,880,CS education| CS for All| K-12,Curricula| School buildings| Surveys| CS education| Elementary schools| High level description| Local expectations| Open-ended questions| Public school districts| Public schools| Student enrollments| Teaching,Conference Paper,273
Maestre J| Pallares J| Cuesta I| Scott M.A.,57190384916|7005253700|7004060735|9942259800|,Dynamics of a capsule flowing in a tube under pulsatile flow,2019,Journal of the Mechanical Behavior of Biomedical Materials,90,,110,Deformable capsule| IGA| Pulsatile flow| T-spline,Boundary element method| Deformation| Pulsatile flow| Sailing vessels| Splines| Deformable capsule| Discretizations| Hydrodynamical equations| Hyperelastic membranes| Mean velocities| Mechanical characteristics| Relative rigidity| T-splines| Time domain analysis| alginic acid| Article| bioengineering| dynamics| microcapsule| oscillation| priority journal| pulsatile flow| rigidity| surface area| surface property| velocity| hydrodynamics| mechanics| microcapsule| Capsules| Hydrodynamics| Mechanical Phenomena| Pulsatile Flow,Article,274
Collins D.H| Warr R.L.,55413434100|55827824100|,Failure time distributions for complex equipment,2019,Quality and Reliability Engineering International,35,1,220,complex systems| Drenick's theorem| exponential distribution| failure law,Failure analysis| Complex repairable systems| Component distributions| Component failures| Drenick's theorem| Exponential distributions| Failure-time distribution| Mutually independents| Simulation studies| Large scale systems,Article,275
Diao J| Liu L| Warnick K.F.,48361087900|57189218211|7003381644|,An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,2019,IEEE Transactions on Antennas and Propagation,67,2,710,Array antennas| element-gain paradox| mutual coupling| Poynting streamlines| receiving antennas,Dipole antennas| Directive antennas| Electromagnetic waves| Magnetic resonance imaging| Receiving antennas| Array antennas| element-gain paradox| Loaded antennas| Mutual coupling| Poynting streamlines| Shape| Antenna arrays,Article,276
Janke D| Monk A| Swindlehurst E| Layton K| Chiang S.-H.W.,57197733358|57200390842|57003496300|8342785400|35209941000|,A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,2019,IEEE Transactions on Circuits and Systems II: Express Briefs,66,2,255,DAC layout| DAC settling| SAR ADC| timing scheme,Capacitance| Capacitors| Computer architecture| Computer circuits| Digital to analog conversion| Electric power utilization| Logic gates| Switches| DAC layout| DAC settling| Delays| Power demands| SAR ADC| timing scheme| Analog to digital conversion,Article,277
Hunter A| Moore B.A| Mudunuru M| Chau V| Tchoua R| Nyshadham C| Karra S| O'Malley D| Rougier E| Viswanathan H| Srinivasan G.,8392459500|57200730892|53984647600|56806547100|57201199846|57191862517|57201509548|7006051256|6505878659|8298784700|35747244700|,Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,2019,Computational Materials Science,157,,418,Brittle crack| Crack interaction| Graph theory| Machine learning| Reduced-order models,Artificial intelligence| Brittle fracture| Computation theory| Crack propagation| Graph theory| Learning systems| Brittle cracks| Computational challenges| Crack interaction| Crack propagation simulations| Graph theoretic algorithm| Graph theoretic approach| High fidelity models| Reduced order models| Cracks,Article,278
Leung H| Warnick S.,57193565771|16178649400|,Necessary and Sufficient Conditions on State Transformations That Preserve the Causal Structure of LTI Dynamical Networks,2019,Proceedings of the IEEE Conference on Decision and Control,2018-December,,794,,Dynamic network| Dynamical networks| Dynamical structure| Linear time invariant| On state| State space realization| State transformation| Control engineering,Conference Paper,279
Woodbury N| Dankers A| Warnick S.,56315330500|16177635300|16178649400|,"Dynamic Networks: Representations, Abstractions, and Well-Posedness",2019,Proceedings of the IEEE Conference on Decision and Control,2018-December,,153,,Control engineering| Dynamic network| Multi resolution representation| Multiresolution model| Network representation| Structural details| Wellposedness| Abstracting,Conference Paper,280
Brodie M| Tensmeyer C| Ackerman W| Martinez T.,57207108623|57200290256|57207112163|7102270639|,Alpha Model Domination in Multiple Choice Learning,2019,"Proceedings - 17th IEEE International Conference on Machine Learning and Applications, ICMLA 2018",,,122,Ensembles| Multiple Choice Learning| Neural networks,Classification (of information)| Machine learning| Neural networks| Stochastic systems| Alpha model| Classification datasets| Ensemble members| Ensembles| Loss functions| Multiple choice| Training time| Learning algorithms,Conference Paper,281
Pettingill D| Kurtz D| Smalley D.,57205388766|57205393448|16313800700|,Static structures in leaky mode waveguides,2019,Applied Sciences (Switzerland),9,2,480,3D display| Acousto-optic modulator| Augmented reality| Holographic video| Laser-induced structures| Leaky mode| Lithium niobate| Near-eye display,,Article,282
Avila A| Magleby S.P| Lang R.J| Howell L.L.,57208598187|6701720294|15848771600|57211516485|,Origami fold states: Concept and design tool,2019,Mechanical Sciences,10,1,60,,,Article,283
Transtrum M.K| Francis B.L| Youn C.C| Saric A.T| Stankovic A.M.,8448666000|57205617484|55638504300|6701777223|57218886153|,Geometrically Motivated Reparameterization for Identifiability Analysis in Power Systems Models,2019,"2018 North American Power Symposium, NAPS 2018",,,412,Computational differential geometry| Manifold boundary approximation method| Model reduction| Parameter identifiability| Power system modeling| System identification,Computational geometry| Identification (control systems)| Mapping| Boundary approximation methods| Computational differential geometry| Model reduction| Parameter identifiability| Power system model| Parameter estimation,Conference Paper,284
Mattson C.A| Sorensen C.D.,7004300863|7102879142|,Product development: Principles and tools for creating desirable and transferable designs,2019,Product Development: Principles and Tools for Creating Desirable and Transferable Designs,,,108,Architecture development| Brainstorming| Cad modeling| Controlled convergence| Customizing the product development process| Design for manufacturing| Engineering drawings| Failure modes and effects analysis| Product development design skills| Product development textbook| Product ergonomics| Product refinement| Prototyping| Quality function deployment| Subsystem engineering| Troubleshooting| Uncertainty analysis| Value engineering,,Book,285
Gates N.S| Moore K.R| Ning A| Hedengren J.D.,56798055200|57192697616|8621794000|9277159100|,"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",2019,AIAA Scitech 2019 Forum,,,849,,Computation theory| Electric batteries| Model predictive control| Predictive control systems| Propulsion| Systems analysis| Unmanned aerial vehicles (UAV)| Battery optimization| Blade element momentum theory| Fixed point iteration| High altitude long endurances| Nonlinear model predictive control| Optimization framework| Optimization of propulsion| Trajectory optimization| Flight paths,Conference Paper,286
Newcomb J.E| Ning A.,57215306633|8621794000|,The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,2019,AIAA Scitech 2019 Forum,,,592,,Antennas| Aviation| Maneuverability| Unmanned aerial vehicles (UAV)| Amount of information| Dimensionalization| Domain size| One-time| Search performance| Time step| Time-efficient methods| Vehicle location| Vehicle performance,Conference Paper,287
Unrau M.A| Gorrell S.E.,57201367093|6602649851|,Simulating stall inception in a high-performance fan using createt m-av kestrel,2019,AIAA Scitech 2019 Forum,,,538,,Unsteady flow| Acquisition tools| Computational researches| Inlet conditions| Operating condition| Physical process| Stall inception| Tip clearance flow| Unsteady interaction| Computational fluid dynamics,Conference Paper,288
Sanchez D| Nordin G| Munro T.,57189445479|7005636820|55812232700|,Microfluidic temperature behavior in a multi-material 3D printed chip,2019,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",10,,296,,Cadmium telluride| Chip scale packages| D region| Fluidic devices| Fluorescence| II-VI semiconductors| Iterative methods| Microfluidics| Nanosystems| Semiconductor quantum dots| Temperature control| Temperature measurement| Temperature sensors| Thermal management (electronics)| Thermometers| CdTe quantum dots| Fabrication technique| Iterative process| Micro-fluidic devices| Non contact temperatures| Temperature behavior| Temperature sensing| Temperature sensitive| 3D printers,Conference Paper,289
Moore K.R| Ning A.,57192697616|8621794000|,Takeoff and performance trade-offs of retrofit distributed electric propulsion for urban transport,2019,Journal of Aircraft,56,5,847,,Aerospace applications| Economic and social effects| Electric propulsion| Laminated composites| Lattice theory| Retrofitting| Urban transportation| Vortex flow| Blade-element momentum methods| Classical laminate theory| Composite failure| Conceptual study| Gradient-based optimization| Motor controllers| Performance trade-off| Vortex lattice method| VTOL/STOL aircraft,Article,290
La A| Salmon J| Ellingson J.,57192955909|56830076500|57209640119|,Identifying mode shapes of turbo-machinery blades using principal component analysis and support vector machines,2019,Conference Proceedings of the Society for Experimental Mechanics Series,6,,736,Computer vision| Image processing| Machine learning| Mode shape identification| PCA,Automation| Classification (of information)| Computer vision| Image processing| Learning systems| Machinery| Structural analysis| Structural dynamics| Structural health monitoring| Support vector machines| Automated process| Compressor blades| Engineering design| Finite element solver| Gray-scale images| Mode shapes| Orthogonal axes| Principal axes| Principal component analysis,Conference Paper,291
Howell B| Siebert J| Hill M.,55161739600|57211281996|57211282830|,New uses of instagram in design history education,2019,"Proceedings of the 21st International Conference on Engineering and Product Design Education: Towards a New Innovation Landscape, E and PDE 2019",,,571,Alassroom archive| Industrial design history| Instagram search| Instagram student presentations| Social media,Curricula| Product design| Alassroom archive| Design knowledge| Instagram search| Instagram student presentations| Personal growth| Presentation tools| Search process| Social media| Students,Conference Paper,292
Hazen G| Morgan D| Howell B.,57204903122|57187178400|55161739600|,Exploring play interventions in design education,2019,"Proceedings of the 21st International Conference on Engineering and Product Design Education: Towards a New Innovation Landscape, E and PDE 2019",,,343,Class room design| Creativity pedagogy| Industrial design| Student learning| Studio environment,Behavioral research| Product design| Surveys| Class rooms| Classroom environment| Creativity pedagogy| Emotional wellbeing| Learning experiences| Psychological well-being| Student learning| Student perceptions| Students,Conference Paper,293
Hamilton M| Howell B.,57211282935|55161739600|,"Exploring the moral differences, between industrial design, engineering and entrepreneurship students",2019,"Proceedings of the 21st International Conference on Engineering and Product Design Education: Towards a New Innovation Landscape, E and PDE 2019",,,852,Communication| Design education| Interdisciplinary education| Interdisciplinary teams| Product design,Communication| Friction| Students| Surveys| Design Education| Interdisciplinary education| Interdisciplinary teams| Pilot studies| Team members| Product design,Conference Paper,294
Korimi M| Adams M.R| Smalley D.,57216747100|57216739000|16313800700|,Progress on static structures for leaky mode waveguides,2019,Optics InfoBase Conference Papers,Part F144-FiO 2019,,146,,Field of views| Leaky modes| Multi-ordering| Static structures| Test rigs,Conference Paper,295
Ware M| Atkinson N| Hodge D| Pratt B| Romero M| Schulzke C| Peatross J.,7005357023|57216751001|57216748895|36913263000|57217283178|57216749286|6701646284|,Polarization-resolved single-photon measurements of nonlinear Thomson scattering,2019,Optics InfoBase Conference Papers,Part F144-FiO 2019,,605,,Light scattering| Photons| Polarization| Electron dynamics| High intensity| Low density| Measurements of| Nonlinear Thomson scattering| Single photon detection| Single photons| Particle beams,Conference Paper,296
Stevenson P.D| Mattson C.A.,57197765353|7004300863|,The personification of big data,2019,"Proceedings of the International Conference on Engineering Design, ICED",2019-August,,700,Big data| Design methods| Persona| Persona Generator| User centred design,Big data| Sales| User centered design| Customer information| Demographic data| Design method| Microdata| National level| Persona| Persona Generator| Product designers| Population statistics,Conference Paper,297
Crandall J.W| Pham H.,7004904337|57212553003|,Cooperating in long-term relationships with time-varying structure,2019,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",4,,230,Learning in games| Repeated interactions| Trigger strategies,Multi agent systems| Stochastic models| Stochastic systems| Action sets| Extended interaction| Learning in games| Long-term relationships| Repeated games| Stochastic game| Time-varying structure| Trigger strategies| Autonomous agents,Conference Paper,298
Adams B.R| Schroedter T.L.,7202518970|57200205435|,Modeling pressurized dense phase coal fluidization and transport,2019,"American Society of Mechanical Engineers, Power Division (Publication) POWER",2019-July,,100,Dense phase| Fluidization| Modeling| Pressurized coal| Transport,Carbon dioxide| Coal| Coal deposits| Flow rate| Fluidization| Fluidized beds| Hoppers| Models| Coal particles| Dense Phase| Design concept| Gravitational forces| Horizontal pipes| Model results| Transport| Virtual reactors| Coal transportation,Conference Paper,299
Reese K| Smith T| Dutson J| Armknecht J| Cameron J| Seamons K.,57203245208|57203241931|57210927548|57212168814|57212172095|6601908155|,A usability study of five two-factor authentication methods,2019,"Proceedings of the 15th Symposium on Usable Privacy and Security, SOUPS 2019",,,746,,Authentication| Hardware security| Mobile telecommunication systems| Hardware tokens| Laboratory studies| One time passwords| Qualitative data| Two factor authentication| Usability research| Usability studies| Usability testing| Usability engineering,Conference Paper,300
Rogers W| Laney J| Peatross J| Smalley D.,57205292526|57211987837|6701646284|16313800700|,Improving photophoretic trap volumetric displays [Invited],2019,Applied Optics,58,34,685,,Antennas| 3D imaging| Optical trap| Volumetric display| Three dimensional displays,Article,301
Neupane A| Goodrich M.A.,57195066838|7005513246|,Designing emergent swarm behaviors using behavior trees and grammatical evolution,2019,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",4,,823,Behavior trees| Grammatical evolution| Swarms,Combinatorial optimization| Computational grammars| Forestry| Multi agent systems| Agent behavior| Behavior trees| Bootstrapping method| Credit assignment problems| Fitness functions| Grammatical evolution| Swarm behavior| Swarms| Autonomous agents,Conference Paper,302
Vaziripour E| Wu J| O'Neill M| Clinton R| Whitehead J| Heidbrink S| Seamons K| Zappala D.,35621274900|55681652500|56417117600|57212106357|57212103171|57193574682|6601908155|7003445799|,"Is that you, Alice? A usability study of the authentication ceremony of secure messaging applications",2019,"Proceedings of the 13th Symposium on Usable Privacy and Security, SOUPS 2017",,,304,,Cryptography| Facebook| Manual operations| Potential threats| Second phase| Threat models| Two phase| Usability studies| User feedback| Authentication,Conference Paper,303
Seat M.L| Schultz G.G| Wyatt Clegg B| Saito M.,57211214561|8244752200|57211216470|55727966500|,Analyzing the safety impacts of raised medians,2019,International Conference on Transportation and Development 2019: Smarter and Safer Mobility and Cities - Selected Papers from the International Conference on Transportation and Development 2019,,,379,,Civil engineering| Transportation| AC analysis| Access category| Crash severity| Hierarchical bayesian| Modification factors| Safety impact| Vehicle-miles traveled| Accidents,Conference Paper,304
Vaziripour E| Wu J| O'Neill M| Metro D| Cockrell J| Moffett T| Whitehead J| Bonner N| Seamons K| Zappala D.,35621274900|55681652500|56417117600|57212107036|57212104751|57212106857|57212103171|57212104028|6601908155|7003445799|,Action needed! Helping users find and complete the authentication ceremony in signal,2019,"Proceedings of the 14th Symposium on Usable Privacy and Security, SOUPS 2018",,,226,,Cryptography| Encryption key| Risk communication| User study| User training| Authentication,Conference Paper,305
Wu J| Zappala D.,55681652500|7003445799|,When is a tree really a truck? Exploring mental models of encryption,2019,"Proceedings of the 14th Symposium on Usable Privacy and Security, SOUPS 2018",,,355,,Access control| Cognitive systems| Driving forces| Functional abstractions| Mental model| Personal use| Semi-structured| Service provider| Symmetric encryption| User perceptions| Cryptography,Conference Paper,306
Kincaid C.J| Vaterlaus A.C| Stanford N.R| Charles S.K.,57204799155|57204803477|57204802622|14033673100|,Frequency response of the leap motion controller and its suitability for measuring tremor,2019,Medical Engineering and Physics,63,,880,Frequency response| Leap motion controller| Markerless motion capture| Tremor,Bandwidth| Controllers| Motion control| Clinical settings| Dynamic accuracies| High resolution| Leap motions| Limited bandwidth| Markerless motion capture| Movement disorders| Tremor| Frequency response| Article| bandwidth| data processing| inverse filter| leap motion controller| oscillation| priority journal| tremor| biomechanics| movement (physiology)| pathophysiology| tremor| Biomechanical Phenomena| Movement| Tremor,Article,307
Redd B| Ebert J| Twitchell A| Rice M.,57219001134|57218994430|57218994299|7202083837|,DFT-based frequency offset estimators for 16-APSK,2019,Proceedings of the International Telemetering Conference,55,,511,,Bit error rate| Errors| Frequency allocation| Radio transmission| DFT-based| Dichotomous searches| Digital modulations| Error variance| Frequency offset estimators| Frequency offsets| Phase information| PSK signals| Frequency estimation,Conference Paper,308
Norman K| Jensen B| Rice M| Harrison W.K.,57210292389|57210287166|7202083837|35147940600|,Doppler power spectra from vehicle-to-everything propagation experiments,2019,Proceedings of the International Telemetering Conference,55,,527,,Power spectrum| Vehicle to infrastructure| Doppler| Power-spectra| Vehicle to infrastructure (V2I)| Vehicle to vehicles| Vehicles,Conference Paper,309
Francis B| Long D.G.,57205617484|57218995344|,Analysis of inertial measurement data from a model rocket payload,2019,Proceedings of the International Telemetering Conference,55,,541,,Software testing| Telemetering equipment| Acceleration data| Acceleration vectors| Circuit boards| Educational experiences| Ground stations| Inertial measurements| Inertial motions| Simple modeling| Rockets,Conference Paper,310
Rice M| Redd B| Briceño X.,7202083837|57219001134|36677010800|,On carrier frequency and phase synchronization for coded 16-APSK in aeronautical mobile telemetry,2019,Proceedings of the International Telemetering Conference,55,,872,,Frequency allocation| Frequency estimation| Locks (fasteners)| Phase locked loops| Synchronization| Telemetering equipment| Carrier frequency| Feedback approach| Frequency offsets| Ideal performance| Minimum value| Phase lock loop (PLL)| Phase synchronization| Uncoded system| Signal to noise ratio,Conference Paper,311
Arabian F| Rice M.,57204692730|7202083837|,Polarization diversity and equalization of frequency selective channels in telemetry environment for 16APSK,2019,Proceedings of the International Telemetering Conference,55,,295,,Antennas| Telemetering equipment| Aeronautical telemetry| Antenna feeds| Co-phasing| Current practices| Frequency selective channel| Ground-based stations| Optimal combination| Polarization diversity| Equalizers,Conference Paper,312
George A.R| Warner W.Y.,55813139600|56747516900|,Characterization and validation of in situ void formation during resin infusion,2019,CAMX 2019 - Composites and Advanced Materials Expo,,,66,,Epoxy resins| Morphology| Optimization| Reinforcement| Carbon reinforcements| Cross-section micrographs| Defect characterization| Experimental methodology| Resin infusion| Void distributions| Void formation| Photography,Conference Paper,313
Wilson M.E| Magleby S.P| Howell L.L| Bowden A.E.,56071519600|6701720294|57211516485|7006441571|,Characteristics of self-deployment in origami-based systems,2019,Proceedings of the ASME Design Engineering Technical Conference,5B-2019,,99,,Compliant mechanisms| Design| Strain energy| Taxonomies| Deployment process| Design spaces| Energy mechanisms| Mechanical systems| Minimally invasive surgical| Self actuation| Self-deployment| SPACE system| Mechanisms,Conference Paper,314
Ynchausti C| Magleby S.P| Bowden A.E| Howell L.L.,57212342916|6701720294|7006441571|57211516485|,Deployable euler spiral connectors (DESCs),2019,Proceedings of the ASME Design Engineering Technical Conference,5A-2019,,258,,Design| Proof of concept| Graphic methods,Conference Paper,315
Seymour K| Sheffield J| Magleby S.P| Howell L.L.,57212351695|57212342217|6701720294|57211516485|,Cylindrical developable mechanisms for minimally invasive surgical instruments,2019,Proceedings of the ASME Design Engineering Technical Conference,5B-2019,,428,,Design| Surgical equipment| Kinematic mechanism| Minimally invasive surgical| Potential function| Surgical devices| Surgery,Conference Paper,316
